Date,Close,WARN,MVG1,MVG2,DevStop1,DevStop2,DevStop3
Fri May 16 00:00:00 PDT 1997,20.75004,,,,,,
Mon May 19 00:00:00 PDT 1997,20.49996,,,,,,
Tue May 20 00:00:00 PDT 1997,19.62504,,,,,,
Wed May 21 00:00:00 PDT 1997,17.12496,,,,,,
Thu May 22 00:00:00 PDT 1997,16.74996,,,,,,
Fri May 23 00:00:00 PDT 1997,18.0,,,,,,
Tue May 27 00:00:00 PDT 1997,18.99996,,,,,,
Wed May 28 00:00:00 PDT 1997,18.375,,,,,,
Thu May 29 00:00:00 PDT 1997,18.062521,,,,,,
Fri May 30 00:00:00 PDT 1997,18.0,,,,,,
Mon Jun 02 00:00:00 PDT 1997,18.12504,,,,,,
Tue Jun 03 00:00:00 PDT 1997,17.75004,18.3562441,,,,,
Wed Jun 04 00:00:00 PDT 1997,17.00004,18.0812521,,,,,
Thu Jun 05 00:00:00 PDT 1997,18.50004,17.8187521,,,,,
Fri Jun 06 00:00:00 PDT 1997,19.875,17.9562601,,,,,
Mon Jun 09 00:00:00 PDT 1997,20.25,18.2687641,,,,,
Tue Jun 10 00:00:00 PDT 1997,18.99996,18.4937641,,,,,
Wed Jun 11 00:00:00 PDT 1997,18.50004,18.4937641,,,,,
Thu Jun 12 00:00:00 PDT 1997,19.25004,18.5062681,,,,,
Fri Jun 13 00:00:00 PDT 1997,18.99996,18.62502,,,,,
Mon Jun 16 00:00:00 PDT 1997,18.87504,18.725016,,,,,
Tue Jun 17 00:00:00 PDT 1997,18.062521,18.800016,,,,,
Wed Jun 18 00:00:00 PDT 1997,18.12504,18.8312641,,,,,
Thu Jun 19 00:00:00 PDT 1997,18.12504,18.9437641,,,,,
Fri Jun 20 00:00:00 PDT 1997,18.312479,18.9062641,,,,,
Mon Jun 23 00:00:00 PDT 1997,18.0,18.750011999999998,,,,,
Tue Jun 24 00:00:00 PDT 1997,18.12504,18.525012,,,,,
Wed Jun 25 00:00:00 PDT 1997,18.12504,18.43752,18.473566192307693,17.413685761904762,18.01623431002474,18.618782858144716,19.22133140626469
Thu Jun 26 00:00:00 PDT 1997,18.12504,18.400019999999998,18.382223115384615,19.63687428571429,19.019548294793676,18.402222303873064,17.784896312952455
Fri Jun 27 00:00:00 PDT 1997,17.87496,18.28752,18.32453080769231,17.348200000000002,17.97212284200885,18.5960456840177,19.219968526026552
